gene,bio_rank,ko_l2_mean,residual_l2,resid_rank,mean_expr,frac_expr,is_ref
GABRG3,465,0.02574976,0.003862589421873936,211,0.5932081,0.2695086705202312,FALSE
PCSK1N,391,0.030533366,0.0038602246913942715,212,0.78106934,0.3829479768786127,FALSE
MEIS1,219,0.045868542,0.0038035791103219036,213,1.449422,0.5238439306358381,FALSE
KITLG,609,0.01918258,0.003795382300128036,214,0.39089596,0.2030346820809248,FALSE
LY6H,477,0.025277602,0.0037560338763211543,215,0.6040462,0.3468208092485549,FALSE
FGF14,415,0.028749537,0.003704276461633761,216,0.7030347,0.305635838150289,FALSE
ACSBG1,716,0.015331269,0.0036961599737621448,217,0.28323698,0.1524566473988439,FALSE
PIP5K1B,626,0.018420978,0.0036604667126587196,218,0.36416185,0.1611271676300578,FALSE
PLP1,717,0.015240377,0.0036224026031958243,219,0.2803468,0.1416184971098266,FALSE
KCNQ5,875,0.010483006,0.0036022793931948264,220,0.16763006,0.1315028901734104,FALSE
TLE2,1016,0.0078022135,0.0035775540178356333,221,0.10043353,0.0830924855491329,FALSE
SCN1A,614,0.018888718,0.0035686350529857873,222,0.3916185,0.213150289017341,FALSE
CDH13,623,0.018505894,0.0035606652942112237,223,0.38294798,0.2182080924855491,FALSE
SORCS2,466,0.02564175,0.0035554690337363257,224,0.62789017,0.3692196531791907,FALSE
HTRA1,517,0.02314642,0.0035497127612915116,225,0.5180636,0.2434971098265896,FALSE
EEF1A2,812,0.011889251,0.0034856179643013847,226,0.21026012,0.1697976878612716,FALSE
TMEM91,806,0.011962201,0.0034396714974530016,227,0.21098267,0.1604046242774566,FALSE
