gene,ko_l2_mean_70d,ko_l2_mean_115d
MYO3A,0.017814493,0.014092608
ELAVL4,0.017721651,0.008735891
RTKN2,0.017633524,0.00761277
DLGAP5-1,0.017603345,0.006949903
STK33,0.017601902,0.035785776
KIF5C,0.017486444,0.031664304
TMEM132B,0.01748518,0.07712122
DENND2B,0.017394135,0.021555457
MEG8,0.017306652,0.016472664
CENPA,0.017281977,0.0035131576
TAGLN3,0.017234633,0.010994131
GAS2L3,0.017151205,0.01681163
CENPE,0.017143115,0.010540651
NTNG2,0.016884306,0.05321872
KIFC1,0.01674388,0.0074465415
LARGE1,0.016739696,0.01910389
NFKBIA,0.016706228,0.0031961477
GNG12-AS1,0.016583927,0.010108488
PGM5-AS1,0.016566493,0.0007798782
DNAJB1,0.01650721,0.028287359
CDC25C,0.016484326,0.0084272
RFTN2,0.016474798,0.04412391
DOCK1,0.016461195,0.0337599
BCL11B,0.016425826,0.011922613
CRB1,0.016415374,0.023606451
RBP1,0.016386572,0.010220404
MEIS1,0.016335594,0.045868542
PRR11,0.016323747,0.010141105
ETFB,0.016294725,0.0070369276
NUP37,0.016221274,0.005061091
ATRNL1,0.01621338,0.0192326
RUNX1T1,0.016166255,0.046191096
CMC2,0.016165638,0.0114359595
CEP128,0.016160421,0.024281628
BICC1,0.016152471,0.026367232
KHDRBS2,0.016138885,0.025137136
LRIG1-1,0.016120797,0.05114011
CSRNP3,0.016096527,0.025432002
FBXL17,0.016000357,0.022889314
MPPED1,0.015983326,0.009104318
KIF2C,0.015969338,0.0063303
PRC1,0.015730781,0.010440054
SORCS2,0.015706588,0.02564175
KIF18B,0.015693609,0.010137437
SORCS1,0.015673343,0.012742781
KIF11,0.015672289,0.01110686
ARPC4,0.015625257,0.005948628
PPFIA2,0.015608476,0.0324091
RTN1,0.015575821,0.055340916
TACC3,0.015570552,0.007668932
LGALS1,0.015533585,0.024640458
NAA10,0.015519065,0.00666824
FIGN,0.015503023,0.032883745
CDCA8,0.0154665755,0.0036451714
NDST3,0.015391527,0.018884476
