gene,pearson_r_70d,pearson_r_115d
SPATA13,-0.09673675894737244,-0.09520483016967773
SCN1A,-0.09585428237915039,-0.0015404075384140015
EMX2,-0.09580736607313156,-0.20994728803634644
JPT1,-0.09563005715608597,-0.032017726451158524
RTKN2,-0.09549155086278915,0.002152177505195141
PLS3,-0.09493442624807358,-0.04798039793968201
RIMS2,0.09466442465782166,-0.18367835879325867
RAMP3,-0.09406101703643799,0.004047643393278122
TUBA1A,0.09315292537212372,0.1294436752796173
LDHA,-0.09305539727210999,0.08972680568695068
ADAMTS9-AS2,-0.09281396865844727,-0.07161878794431686
H2AX,-0.09273166209459305,-0.00010259635746479034
FSTL5,0.09265520423650742,-0.17720630764961243
CRYGC,0.09245626628398895,0.0
TAFA4,0.09237993508577347,-0.07913220673799515
ROBO1,0.09203019738197327,-0.2810852527618408
SOX9,-0.09194395691156387,0.03581203147768974
PLPPR1,-0.09185093641281128,-0.18971040844917297
H1-10,-0.09179745614528656,-0.0045904479920864105
RPL39,0.09174948930740356,-0.15056276321411133
NRG3,0.09170060604810715,-0.11558760702610016
TFAP2C,-0.09145494550466537,-0.3105451464653015
TOX2,0.09122592210769653,-0.058850813657045364
LINC01748,-0.09109190106391907,-0.06550264358520508
PMP2,0.0907931700348854,0.27134865522384644
TANC2,-0.09056879580020905,-0.3372999429702759
SCN3A,0.09048439562320709,-0.15550410747528076
FABP7,-0.09047507494688034,0.0988251268863678
MIR1915HG,-0.0903710126876831,-0.006294620223343372
GRIK5,0.08994923532009125,-0.07256560772657394
CLYBL,-0.089616559445858,-0.09250857681035995
BNC2,-0.08960077911615372,-0.08486345410346985
PSTPIP1,0.08956332504749298,0.013407268561422825
LINC01830,0.08942393958568573,-0.06485089659690857
CALCRL,0.08940520882606506,0.04764600470662117
CD24,-0.08940276503562927,-0.07289551943540573
LINC01572,-0.0892959013581276,0.14542503654956818
GRIN2A,-0.08924268186092377,-0.2343645840883255
PPP2R2D,-0.08913052082061768,-0.07429865002632141
JAK1,-0.0889834612607956,-0.10575263947248459
PCDH17,0.08887556195259094,-0.04688308760523796
H1-0,-0.08887363970279694,-0.061777349561452866
STK33,-0.08884252607822418,0.16142186522483826
RND3,0.08874952048063278,0.021240629255771637
CLIC6-1,-0.08856888115406036,0.0
SIX3,-0.08841505646705627,-0.006393248215317726
UBC,-0.08827543258666992,0.09951640665531158
SAMD5,-0.08819624781608582,-0.17714636027812958
KCNH8,0.08791156113147736,0.0051555270329117775
RTN1,-0.08746016025543213,-0.23977230489253998
FGF17,-0.08684992790222168,-0.060549721121788025
MEIS1,-0.08680763840675354,0.20026269555091858
KCNH7,-0.08678293228149414,-0.31299686431884766
FEZF2,-0.08657278120517731,-0.17285481095314026
LTBP1,-0.08652310073375702,-0.277290940284729
RPS10,0.08622414618730545,0.19722741842269897
LRRTM4,-0.08621154725551605,-0.03970587998628616
FGF12,0.0861860066652298,-0.15446126461029053
DNAI1,-0.08602181077003479,0.02514442428946495
RHOH,-0.08558855950832367,0.0
PARD3B,-0.08542527258396149,-0.04321097582578659
TTC3,-0.08511475473642349,-0.13993339240550995
SPX,-0.08452919870615005,0.03404073789715767
LMX1A,-0.08440576493740082,-0.14954209327697754
GPHN,0.0843568965792656,-0.0118132084608078
SLC1A3,-0.08431573212146759,0.16884535551071167
NFATC2,-0.08422207832336426,0.027449743822216988
NXPH2,0.08417858928442001,-0.012300189584493637
FRMD4B,-0.08416534960269928,-0.09875532239675522
ZEB2,0.08403729647397995,0.09576679021120071
AGBL1,-0.08399306237697601,-0.15075357258319855
ST6GALNAC5,-0.08365051448345184,-0.1532903015613556
TSPAN13,0.08336314558982849,0.17066293954849243
SDK1,0.08327785134315491,0.0011178599670529366
EPB41L4A,-0.08327117562294006,-0.2399740368127823
NKX2-2,0.08324682712554932,0.16066130995750427
MYO1E,-0.08312492817640305,0.0009777816012501717
